"bez";"spr";"spr24"
21;"21100";"21100"
22;"22133";"22133"
12;"12056";"12056"
21;"21082";"21082"
11;"11062";"11062"
17;"17016";"17016"
2;"02053";"02053"
19;"19050";"19050"
12;"12021";"12021"
17;"17013";"17013"
7;"07014";"07016"
7;"07006";"07006"
12;"12025";"12025"
13;"13039";"13023"
3;"03033";"03033"
20;"20016";"20016"
14;"14032";"14037"
8;"08020";"08020"
10;"10066";"10066"
23;"23096";"23096"
23;"23009";"23009"
22;"22124";"22124"
1;"01015";"01005"
10;"10063";"10063"
5;"05028";"05028"
4;"04009";"04009"
10;"10025";"10024"
10;"10031";"10056"
14;"14047";"14060"
18;"18038";"18038"
12;"12051";"12051"
10;"10137";"10137"
7;"07023";"07023"
3;"03010";"03010"
8;"08005";"08005"
8;"08013";"08013"
2;"02010";"02010"
2;"02013";"02013"
17;"17002";"17002"
21;"21020";"21020"
22;"22131";"22131"
22;"22069";"22069"
22;"22112";"22112"
11;"11040";"11040"
20;"20057";"20057"
3;"03035";"03035"
15;"15036";"15036"
19;"19043";"19043"
21;"21076";"21076"
11;"11076";"11076"
22;"22128";"22128"
20;"20051";"20051"
11;"11046";"11046"
3;"03025";"03025"
13;"13008";"13004"
22;"22021";"22021"
22;"22129";"22129"
10;"10101";"10101"
2;"02064";"02064"
22;"22071";"22071"
14;"14068";"14073"
17;"17027";"17027"
20;"20018";"20018"
16;"16033";"16033"
10;"10029";"10029"
23;"23056";"23056"
22;"22060";"22060"
21;"21080";"21080"
16;"16047";"16047"
15;"15034";"15034"
10;"10081";"10081"
2;"02019";"02019"
22;"22138";"22138"
6;"06020";"06020"
3;"03007";"03007"
10;"10047";"10047"
15;"15048";"15048"
11;"11013";"11013"
10;"10019";"10019"
14;"14050";"14010"
18;"18004";"18004"
16;"16080";"16045"
14;"14030";"14034"
14;"14040";"14053"
5;"05040";"05040"
7;"07012";"07012"
21;"21062";"21062"
22;"22087";"22087"
15;"15005";"15005"
10;"10113";"10113"
21;"21111";"21111"
20;"20031";"20031"
5;"05026";"05026"
22;"22073";"22073"
15;"15012";"15012"
23;"23007";"23007"
21;"21039";"21039"
17;"17029";"17029"
16;"16055";"16054"
9;"09012";"09012"
18;"18030";"18031"
10;"10022";"10022"
20;"20025";"20025"
21;"21043";"21043"
21;"21121";"21121"
18;"18016";"18016"
14;"14004";"14029"
19;"19039";"19039"
10;"10122";"10145"
22;"22126";"22126"
12;"12062";"12062"
2;"02039";"02039"
22;"22109";"22109"
